Level nr;Code;Parent code;Label NL;Label FR;Label DE;Label EN
4;0710;071;Winning van ijzererts;Extraction de minerais de fer;Eisenerzbergbau;Mining of iron ores
4;0721;072;Winning van uranium- en thoriumerts;Extraction de minerais d'uranium et de thorium;Bergbau auf Uran- und Thoriumerze;Mining of uranium and thorium ores
4;0729;072;Winning van andere non-ferrometaalertsen;Extraction d'autres minerais de métaux non ferreux;Sonstiger NE-Metallerzbergbau;Mining of other non-ferrous metal ores
4;0811;081;Winning van bouw- en siersteen, kalksteen, gips, krijt en leisteen;Extraction de pierres ornementales et de construction, de pierres calcaires, de gypse, de craie et d'ardoise;Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer;Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate
4;0812;081;Winning van grind, zand, klei en kaolien;Exploitation de gravières et de sablières, extraction d'argiles et de kaolin;Gewinnung von Kies, Sand, Ton und Kaolin;"Operation of gravel and sand pits; mining of clays and kaolin"
4;0891;089;Winning van mineralen voor de chemische en de kunstmestindustrie;Extraction des minéraux chimiques et d'engrais minéraux;Bergbau auf chemische und Dÿngemittelminerale;Mining of chemical and fertiliser minerals
4;0892;089;Winning van turf;Extraction de tourbe;Torfgewinnung;Extraction of peat
4;0893;089;Zoutwinning;Production de sel;Gewinnung von Salz;Extraction of salt
4;0899;089;Overige winning van delfstoffen, n.e.g.;Autres activités extractives n.c.a.;Gewinnung von Steinen und Erden a. n. g.;Other mining and quarrying n.e.c.
4;0910;091;Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning;Activités de soutien à l'extraction d'hydrocarbures;Erbringung von Dienstleistungen fÿr die Gewinnung von Erdöl und Erdgas;Support activities for petroleum and natural gas extraction
4;0990;099;Ondersteunende activiteiten in verband met de overige winning van delfstoffen;Activités de soutien aux autres industries extractives;Erbringung von Dienstleistungen fÿr den sonstigen Bergbau und die Gewinnung von Steinen und Erden;Support activities for other mining and quarrying
4;1011;101;Verwerking en conservering van vlees, exclusief vlees van gevogelte;Transformation et conservation de la viande de boucherie, à l'exclusion de la viande de volaille;Schlachten (ohne Schlachten von Geflÿgel);Processing and preserving of meat
4;1012;101;Verwerking en conservering van gevogelte;Transformation et conservation de la viande de volaille;Schlachten von Geflÿgel;Processing and preserving of poultry meat
4;1013;101;Vervaardiging van producten van vlees of van vlees van gevogelte;Préparation de produits à base de viande ou de viande de volaille;Fleischverarbeitung;Production of meat and poultry meat products
4;1020;102;Verwerking en conservering van vis en van schaal- en weekdieren;Transformation et conservation de poisson, de crustacés et de mollusques;Fischverarbeitung;Processing and preserving of fish, crustaceans and molluscs
4;1031;103;Verwerking en conservering van aardappelen;Transformation et conservation de pommes de terre;Kartoffelverarbeitung;Processing and preserving of potatoes
4;1032;103;Vervaardiging van groente- en fruitsappen;Préparation de jus de fruits et de légumes;Herstellung von Frucht- und Gemÿsesäften;Manufacture of fruit and vegetable juice
4;1039;103;Overige verwerking en conservering van groenten en fruit;Autre transformation et conservation de fruits et de légumes;Sonstige Verarbeitung von Obst und Gemÿse;Other processing and preserving of fruit and vegetables
4;1041;104;Vervaardiging van oliën en vetten;Fabrication d'huiles et de graisses;Herstellung von Ölen und Fetten;Manufacture of oils and fats
4;1042;104;Vervaardiging van margarine en andere spijsvetten;Fabrication de margarine et de graisses comestibles similaires;Herstellung von Margarine u. ä. Nahrungsfetten;Manufacture of margarine and similar edible fats
4;1051;105;Zuivelfabrieken en kaasmakerijen;Exploitation de laiteries et fabrication de fromage;Milchverarbeitung;Operation of dairies and cheese making
4;1052;105;Vervaardiging van consumptie-ijs;Fabrication de glaces de consommation;Herstellung von Speiseeis;Manufacture of ice cream
4;1061;106;Vervaardiging van maalderijproducten;Travail des grains;Mahl- und Schälmÿhlen;Manufacture of grain mill products
4;1062;106;Vervaardiging van zetmeel en zetmeelproducten;Fabrication de produits amylacés;Herstellung von Stärke und Stärkeerzeugnissen;Manufacture of starches and starch products
4;1071;107;Vervaardiging van brood en van vers banketbakkerswerk;Fabrication de pain et de pâtisserie fraîche;Herstellung von Backwaren (ohne Dauerbackwaren);"Manufacture of bread; manufacture of fresh pastry goods and cakes"
4;1072;107;Vervaardiging van beschuit en biscuit en van ander houdbaar banketbakkerswerk;Fabrication de biscuits, de biscottes et de pâtisseries de conservation;Herstellung von Dauerbackwaren;"Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes"
4;1073;107;Vervaardiging van macaroni, noedels, koeskoes en dergelijke deegwaren;Fabrication de pâtes alimentaires;Herstellung von Teigwaren;Manufacture of macaroni, noodles, couscous and similar farinaceous products
4;1081;108;Vervaardiging van suiker;Fabrication de sucre;Herstellung von Zucker;Manufacture of sugar
4;1082;108;Vervaardiging van cacao, chocolade en suikerwerk;Fabrication de cacao, de chocolat et de produits de confiserie;Herstellung von Sÿßwaren (ohne Dauerbackwaren);Manufacture of cocoa, chocolate and sugar confectionery
4;1083;108;Verwerking van thee en koffie;Transformation du thé et du café;Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz;Processing of tea and coffee
4;1084;108;Vervaardiging van specerijen, sauzen en kruiderijen;Fabrication de condiments et d'assaisonnements;Herstellung von Wÿrzmitteln und Soßen;Manufacture of condiments and seasonings
4;1085;108;Vervaardiging van bereide maaltijden en schotels;Fabrication de plats préparés;Herstellung von Fertiggerichten;Manufacture of prepared meals and dishes
4;1086;108;Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding;Fabrication d'aliments homogénéisés et diététiques;Herstellung von homogenisierten und diätetischen Nahrungsmitteln;Manufacture of homogenised food preparations and dietetic food
4;1089;108;Vervaardiging van andere voedingsmiddelen, n.e.g.;Fabrication d'autres produits alimentaires n.c.a.;Herstellung von sonstigen Nahrungsmitteln a. n. g.;Manufacture of other food products n.e.c.
4;1091;109;Vervaardiging van veevoeders;Fabrication d'aliments pour animaux de ferme;Herstellung von Futtermitteln fÿr Nutztiere;Manufacture of prepared feeds for farm animals
4;1092;109;Vervaardiging van voeders voor huisdieren;Fabrication d'aliments pour animaux de compagnie;Herstellung von Futtermitteln fÿr sonstige Tiere;Manufacture of prepared pet foods
4;1101;110;Vervaardiging van gedistilleerde dranken door distilleren, rectificeren en mengen;Production de boissons alcooliques distillées;Herstellung von Spirituosen;Distilling, rectifying and blending of spirits
4;1102;110;Vervaardiging van wijn uit druiven;Production de vin (de raisin);Herstellung von Traubenwein;Manufacture of wine from grape
4;1103;110;Vervaardiging van cider en van andere vruchtenwijnen;Fabrication de cidre et de vins d'autres fruits;Herstellung von Apfelwein und anderen Fruchtweinen;Manufacture of cider and other fruit wines
4;1104;110;Vervaardiging van andere niet-gedistilleerde gegiste dranken;Production d'autres boissons fermentées non distillées;Herstellung von Wermutwein und sonstigen aromatisierten Weinen;Manufacture of other non-distilled fermented beverages
4;1105;110;Vervaardiging van bier;Fabrication de bière;Herstellung von Bier;Manufacture of beer
4;1106;110;Vervaardiging van mout;Fabrication de malt;Herstellung von Malz;Manufacture of malt
4;1107;110;"Vervaardiging van frisdranken; productie van mineraalwater en ander gebotteld water";Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes;"Herstellung von Erfrischungsgetränken; Gewinnung natÿrlicher Mineralwässer";"Manufacture of soft drinks; production of mineral waters and other bottled waters"
4;1200;120;Vervaardiging van tabaksproducten;Fabrication de produits à base de tabac;Tabakverarbeitung;Manufacture of tobacco products
4;1310;131;Bewerken en spinnen van textielvezels;Préparation de fibres textiles et filature;Spinnstoffaufbereitung und Spinnerei;Preparation and spinning of textile fibres
4;1320;132;Weven van textiel;Tissage;Weberei;Weaving of textiles
4;1330;133;Textielveredeling;Ennoblissement textile;Veredlung von Textilien und Bekleidung;Finishing of textiles
4;1391;139;Vervaardiging van gebreide en gehaakte stoffen;Fabrication d'étoffes à mailles;Herstellung von gewirktem und gestricktem Stoff;Manufacture of knitted and crocheted fabrics
4;1392;139;Vervaardiging van geconfectioneerde artikelen van textiel, exclusief kleding;Fabrication d'articles textiles confectionnés, sauf habillement;Herstellung von konfektionierten Textilwaren (ohne Bekleidung);Manufacture of made-up textile articles, except apparel
4;1393;139;Vervaardiging van vloerkleden en tapijt;Fabrication de tapis et de moquettes;Herstellung von Teppichen;Manufacture of carpets and rugs
4;1394;139;Vervaardiging van koord, bindgaren, touw en netten;Fabrication de ficelles, de cordes et de filets;Herstellung von Seilerwaren;Manufacture of cordage, rope, twine and netting
4;1395;139;Vervaardiging van gebonden textielvlies en van artikelen van gebonden textielvlies, exclusief kleding;Fabrication de non-tissés, sauf habillement;Herstellung von Vliesstoff und Erzeugnissen daraus (ohne Bekleidung);Manufacture of non-wovens and articles made from non-wovens, except apparel
4;1396;139;Vervaardiging van ander technisch en industrieel textiel;Fabrication d'autres textiles techniques et industriels;Herstellung von technischen Textilien;Manufacture of other technical and industrial textiles
4;1399;139;Vervaardiging van andere textielproducten, n.e.g.;Fabrication d'autres textiles n.c.a.;Herstellung von sonstigen Textilwaren a. n. g.;Manufacture of other textiles n.e.c.
4;1411;141;Vervaardiging van kleding van leer;Fabrication de vêtements en cuir;Herstellung von Lederbekleidung;Manufacture of leather clothes
4;1412;141;Vervaardiging van werkkleding;Fabrication de vêtements de travail;Herstellung von Arbeits- und Berufsbekleidung;Manufacture of workwear
4;1413;141;Vervaardiging van andere bovenkleding;Fabrication d'autres vêtements de dessus;Herstellung von sonstiger Oberbekleidung;Manufacture of other outerwear
4;1414;141;Vervaardiging van onderkleding;Fabrication de vêtements de dessous;Herstellung von Wäsche;Manufacture of underwear
4;1419;141;Vervaardiging van andere kleding en toebehoren;Fabrication d'autres vêtements et accessoires;Herstellung von sonstiger Bekleidung und Bekleidungszubehör a. n. g.;Manufacture of other wearing apparel and accessories
4;1420;142;Vervaardiging van artikelen van bont;Fabrication d'articles en fourrure;Herstellung von Pelzwaren;Manufacture of articles of fur
4;1431;143;Vervaardiging van gebreide en gehaakte kousen en sokken;Fabrication d'articles chaussants à mailles;Herstellung von Strumpfwaren;Manufacture of knitted and crocheted hosiery
4;1439;143;Vervaardiging van andere gebreide en gehaakte kleding;Fabrication d'autres articles à mailles;Herstellung von sonstiger Bekleidung aus gewirktem und gestricktem Stoff;Manufacture of other knitted and crocheted apparel
4;1511;151;"Looien en bereiden van leer; bereiden en verven van bont";"Apprêt et tannage des cuirs; préparation et teinture des fourrures";"Herstellung von Leder und Lederfaserstoff; Zurichtung und Färben von Fellen";"Tanning and dressing of leather; dressing and dyeing of fur"
4;1512;151;Vervaardiging van koffers, tassen en dergelijke en van zadel- en tuigmakerswerk;Fabrication d'articles de voyage, de maroquinerie et de sellerie;Lederverarbeitung (ohne Herstellung von Lederbekleidung);Manufacture of luggage, handbags and the like, saddlery and harness
4;1520;152;Vervaardiging van schoeisel;Fabrication de chaussures;Herstellung von Schuhen;Manufacture of footwear
4;1610;161;Zagen en schaven van hout;Sciage et rabotage du bois;Säge-, Hobel- und Holzimprägnierwerke;Sawmilling and planing of wood
4;1621;162;Vervaardiging van fineer en van panelen op basis van hout;Fabrication de placage et de panneaux de bois;Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten;Manufacture of veneer sheets and wood-based panels
4;1622;162;Vervaardiging van geassembleerde parketvloeren;Fabrication de parquets assemblés;Herstellung von Parketttafeln;Manufacture of assembled parquet floors
4;1623;162;Vervaardiging van ander schrijn- en timmerwerk;Fabrication de charpentes et d'autres menuiseries;Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz;Manufacture of other builders' carpentry and joinery
4;1624;162;Vervaardiging van houten emballage;Fabrication d'emballages en bois;Herstellung von Verpackungsmitteln, Lagerbehältern und Ladungsträgern aus Holz;Manufacture of wooden containers
4;1629;162;"Vervaardiging van andere artikelen van hout; vervaardiging van artikelen van kurk, riet of vlechtwerk";"Fabrication d'objets divers en bois; fabrication d'objets en liège, vannerie et sparterie";Herstellung von Holzwaren a.n.g, Kork-, Flecht- und Korbwaren (ohne Möbel);"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
4;1711;171;Vervaardiging van papierpulp;Fabrication de pâte à papier;Herstellung von Holz- und Zellstoff;Manufacture of pulp
4;1712;171;Vervaardiging van papier en karton;Fabrication de papier et de carton;Herstellung von Papier, Karton und Pappe;Manufacture of paper and paperboard
4;1721;172;Vervaardiging van gegolfd papier en golfkarton en van verpakkingsmateriaal van papier en karton;Fabrication de papier et de carton ondulés et d'emballages en papier ou en carton;Herstellung von Wellpapier und -pappe sowie von Verpackungsmitteln aus Papier, Karton und Pappe;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
4;1722;172;Vervaardiging van huishoudelijke en sanitaire papierwaren;Fabrication d'articles en papier à usage sanitaire ou domestique;Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe;Manufacture of household and sanitary goods and of toilet requisites
4;1723;172;Vervaardiging van kantoorbenodigdheden van papier;Fabrication d'articles de papeterie;Herstellung von Schreibwaren und Bÿrobedarf aus Papier, Karton und Pappe;Manufacture of paper stationery
4;1724;172;Vervaardiging van behangpapier;Fabrication de papiers peints;Herstellung von Tapeten;Manufacture of wallpaper
4;1729;172;Vervaardiging van andere artikelen van papier of karton;Fabrication d'autres articles en papier ou en carton;Herstellung von sonstigen Waren aus Papier, Karton und Pappe;Manufacture of other articles of paper and paperboard
4;1811;181;Krantendrukkerijen;Imprimerie de journaux;Drucken von Zeitungen;Printing of newspapers
4;1812;181;Overige drukkerijen;Autre imprimerie (labeur);Drucken a. n. g.;Other printing
4;1813;181;Prepress- en premediadiensten;Activités de prépresse;Druck- und Medienvorstufe;Pre-press and pre-media services
4;1814;181;Binderijen en aanverwante diensten;Reliure et activités annexes;Binden von Druckerzeugnissen und damit verbundene Dienstleistungen;Binding and related services
4;1820;182;Reproductie van opgenomen media;Reproduction d'enregistrements;Vervielfältigung von bespielten Ton-, Bild- und Datenträgern;Reproduction of recorded media
4;1910;191;Vervaardiging van cokesovenproducten;Cokéfaction;Kokerei;Manufacture of coke oven products
4;1920;192;Vervaardiging van geraffineerde aardolieproducten;Raffinage du pétrole;Mineralölverarbeitung;Manufacture of refined petroleum products
4;2011;201;Vervaardiging van industriële gassen;Fabrication de gaz industriels;Herstellung von Industriegasen;Manufacture of industrial gases
4;2012;201;Vervaardiging van kleurstoffen en pigmenten;Fabrication de colorants et de pigments;Herstellung von Farbstoffen und Pigmenten;Manufacture of dyes and pigments
4;2013;201;Vervaardiging van andere anorganische chemische basisproducten;Fabrication d'autres produits chimiques inorganiques de base;Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien;Manufacture of other inorganic basic chemicals
4;2014;201;Vervaardiging van andere organische chemische basisproducten;Fabrication d'autres produits chimiques organiques de base;Herstellung von sonstigen organischen Grundstoffen und Chemikalien;Manufacture of other organic basic chemicals
4;2015;201;Vervaardiging van kunstmeststoffen en stikstofverbindingen;Fabrication de produits azotés et d'engrais;Herstellung von Dÿngemitteln und Stickstoffverbindungen;Manufacture of fertilisers and nitrogen compounds
4;2016;201;Vervaardiging van kunststoffen in primaire vormen;Fabrication de matières plastiques de base;Herstellung von Kunststoffen in Primärformen;Manufacture of plastics in primary forms
4;2017;201;Vervaardiging van synthetische rubber in primaire vormen;Fabrication de caoutchouc synthétique;Herstellung von synthetischem Kautschuk in Primärformen;Manufacture of synthetic rubber in primary forms
4;2020;202;Vervaardiging van verdelgingsmiddelen en van andere chemische producten voor de landbouw;Fabrication de pesticides et d'autres produits agrochimiques;Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln;Manufacture of pesticides and other agrochemical products
4;2030;203;Vervaardiging van verf, vernis e.d., drukinkt en mastiek;Fabrication de peintures, de vernis, d'encres et de mastics;Herstellung von Anstrichmitteln, Druckfarben und Kitten;Manufacture of paints, varnishes and similar coatings, printing ink a mastics
4;2041;204;Vervaardiging van zeep en wasmiddelen, poets- en reinigingsmiddelen;Fabrication de savons, de détergents et de produits d'entretien;Herstellung von Seifen, Wasch-, Reinigungs- und Poliermitteln;Manufacture of soap and detergents, cleaning and polishing preparations
4;2042;204;Vervaardiging van parfums en toiletartikelen;Fabrication de parfums et de produits de toilette;Herstellung von Körperpflegemitteln und Duftstoffen;Manufacture of perfumes and toilet preparations
4;2051;205;Vervaardiging van kruit en springstoffen;Fabrication de produits explosifs;Herstellung von pyrotechnischen Erzeugnissen;Manufacture of explosives
4;2052;205;Vervaardiging van lijm;Fabrication de colles;Herstellung von Klebstoffen;Manufacture of glues
4;2053;205;Vervaardiging van etherische oliën;Fabrication d'huiles essentielles;Herstellung von etherischen Ölen;Manufacture of essential oils
4;2059;205;Vervaardiging van andere chemische producten, n.e.g.;Fabrication d'autres produits chimiques n.c.a.;Herstellung von sonstigen chemischen Erzeugnissen a. n. g.;Manufacture of other chemical products n.e.c.
4;2060;206;Vervaardiging van synthetische en kunstmatige vezels;Fabrication de fibres artificielles ou synthétiques;Herstellung von Chemiefasern;Manufacture of man-made fibres
4;2110;211;Vervaardiging van farmaceutische grondstoffen;Fabrication de produits pharmaceutiques de base;Herstellung von pharmazeutischen Grundstoffen;Manufacture of basic pharmaceutical products
4;2120;212;Vervaardiging van farmaceutische producten;Fabrication de préparations pharmaceutiques;Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen;Manufacture of pharmaceutical preparations
4;2211;221;"Vervaardiging van binnen- en buitenbanden van rubber; loopvlakvernieuwing";Fabrication et rechapage de pneumatiques;Herstellung und Runderneuerung von Bereifungen;"Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
4;2219;221;Vervaardiging van andere producten van rubber;Fabrication d'autres articles en caoutchouc;Herstellung von sonstigen Gummiwaren;Manufacture of other rubber products
4;2221;222;Vervaardiging van platen, vellen, buizen en profielen van kunststof;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen;Manufacture of plastic plates, sheets, tubes and profiles
4;2222;222;Vervaardiging van verpakkingsmateriaal van kunststof;Fabrication d'emballages en matières plastiques;Herstellung von Verpackungsmitteln aus Kunststoffen;Manufacture of plastic packing goods
4;2223;222;Vervaardiging van kunststofartikelen voor de bouw;Fabrication d'éléments en matières plastiques pour la construction;Herstellung von Baubedarfsartikeln aus Kunststoffen;Manufacture of builders' ware of plastic
4;2229;222;Vervaardiging van andere producten van kunststof;Fabrication d'autres articles en matières plastiques;Herstellung von sonstigen Kunststoffwaren;Manufacture of other plastic products
4;2311;231;Vervaardiging van vlakglas;Fabrication de verre plat;Herstellung von Flachglas;Manufacture of flat glass
4;2312;231;Vormen en bewerken van vlakglas;Façonnage et transformation du verre plat;Veredlung und Bearbeitung von Flachglas;Shaping and processing of flat glass
4;2313;231;Vervaardiging van holglas;Fabrication de verre creux;Herstellung von Hohlglas;Manufacture of hollow glass
4;2314;231;Vervaardiging van glasvezels;Fabrication de fibres de verre;Herstellung von Glasfasern und Waren daraus;Manufacture of glass fibres
4;2319;231;Vervaardiging en bewerking van ander glas (inclusief technisch glaswerk);Fabrication et façonnage d'autres articles en verre, y compris verre technique;Herstellung, Veredlung und Bearbeitung von sonstigem Glas einschließlich technischen Glaswaren;Manufacture and processing of other glass, including technical glassware
4;2320;232;Vervaardiging van vuurvaste producten;Fabrication de produits réfractaires;Herstellung von feuerfesten keramischen Werkstoffen und Waren;Manufacture of refractory products
4;2331;233;Vervaardiging van keramische tegels en plavuizen;Fabrication de carreaux en céramique;Herstellung von keramischen Wand- und Bodenfliesen und -platten;Manufacture of ceramic tiles and flags
4;2332;233;Vervaardiging van bakstenen, tegels en producten voor de bouw van gebakken klei;Fabrication de briques, de tuiles et de produits de construction en terre cuite;Herstellung von Ziegeln und sonstiger Baukeramik;Manufacture of bricks, tiles and construction products, in baked clay
4;2341;234;Vervaardiging van huishoudelijk en sieraardewerk;Fabrication d'articles céramiques à usage domestique ou ornemental;Herstellung von keramischen Haushaltswaren und Ziergegenständen;Manufacture of ceramic household and ornamental articles
4;2342;234;Vervaardiging van sanitair aardewerk;Fabrication d'appareils sanitaires en céramique;Herstellung von Sanitärkeramik;Manufacture of ceramic sanitary fixtures
4;2343;234;Vervaardiging van isolatoren en isolatiemateriaal, van keramische stoffen;Fabrication d'isolateurs et de pièces isolantes en céramique;Herstellung von Isolatoren und Isolierteilen aus Keramik;Manufacture of ceramic insulators and insulating fittings
4;2344;234;Vervaardiging van ander technisch aardewerk;Fabrication d'autres produits céramiques à usage technique;Herstellung von keramischen Erzeugnissen fÿr sonstige technische Zwecke;Manufacture of other technical ceramic products
4;2349;234;Vervaardiging van andere keramische producten;Fabrication d'autres produits céramiques;Herstellung von sonstigen keramischen Erzeugnissen;Manufacture of other ceramic products
4;2351;235;Vervaardiging van cement;Fabrication de ciment;Herstellung von Zement;Manufacture of cement
4;2352;235;Vervaardiging van kalk en gips;Fabrication de chaux et de plâtre;Herstellung von Kalk und gebranntem Gips;Manufacture of lime and plaster
4;2361;236;Vervaardiging van artikelen van beton voor de bouw;Fabrication d'éléments en béton pour la construction;Herstellung von Erzeugnissen aus Beton, Zement und Kalksandstein fÿr den Bau;Manufacture of concrete products for construction purposes
4;2362;236;Vervaardiging van artikelen van gips voor de bouw;Fabrication d'éléments en plâtre pour la construction;Herstellung von Gipserzeugnissen fÿr den Bau;Manufacture of plaster products for construction purposes
4;2363;236;Vervaardiging van stortklare beton;Fabrication de béton prêt à l'emploi;Herstellung von Frischbeton (Transportbeton);Manufacture of ready-mixed concrete
4;2364;236;Vervaardiging van mortel;Fabrication de mortiers et de bétons secs;Herstellung von Mörtel und anderem Beton (Trockenbeton);Manufacture of mortars
4;2365;236;Vervaardiging van producten van vezelcement;Fabrication d'ouvrages en fibre-ciment;Herstellung von Faserzementwaren;Manufacture of fibre cement
4;2369;236;Vervaardiging van andere artikelen van beton, gips en cement;Fabrication d'autres ouvrages en béton, en ciment ou en plâtre;Herstellung von sonstigen Erzeugnissen aus Beton, Zement und Gips a. n. g.;Manufacture of other articles of concrete, plaster and cement
4;2370;237;Houwen, bewerken en afwerken van natuursteen;Taille, façonnage et finissage de pierres;Be- und Verarbeitung von Naturwerksteinen und Natursteinen a. n. g.;Cutting, shaping and finishing of stone
4;2391;239;Vervaardiging van schuur-, slijp- en polijstmiddelen;Fabrication de produits abrasifs;Herstellung von Schleifkörpern und Schleifmitteln auf Unterlage;Production of abrasive products
4;2399;239;Vervaardiging van andere niet-metaalhoudende minerale producten, n.e.g.;Fabrication d'autres produits minéraux non métalliques n.c.a.;Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.;Manufacture of other non-metallic mineral products n.e.c.
4;2410;241;Vervaardiging van ijzer en staal en van ferrolegeringen;Sidérurgie;Erzeugung von Roheisen, Stahl und Ferrolegierungen;Manufacture of basic iron and steel and of ferro-alloys
4;2420;242;Vervaardiging van buizen, pijpen, holle profielen en fittings daarvoor, van staal;Fabrication de tubes, de tuyaux, de profilés creux et d'accessoires correspondants en acier;Herstellung von Stahlrohren, Rohrform-, Rohrverschluss- und Rohrverbindungsstÿcken aus Stahl;Manufacture of tubes, pipes, hollow profiles and related fittings, of steel
4;2431;243;Koudtrekken van staven;Étirage à froid de barres;Herstellung von Blankstahl;Cold drawing of bars
4;2432;243;Koudwalsen van bandstaal;Laminage à froid de feuillards;Herstellung von Kaltband mit einer Breite von weniger als 600 mm;Cold rolling of narrow strip
4;2433;243;Koudvervormen of koudfelsen;Profilage à froid par formage ou pliage;Herstellung von Kaltprofilen;Cold forming or folding
4;2434;243;Koudtrekken van draad;Tréfilage à froid;Herstellung von kaltgezogenem Draht;Cold drawing of wire
4;2441;244;Productie van edelmetalen;Production de métaux précieux;Erzeugung und erste Bearbeitung von Edelmetallen;Precious metals production
4;2442;244;Productie van aluminium;Métallurgie de l'aluminium;Erzeugung und erste Bearbeitung von Aluminium;Aluminium production
4;2443;244;Productie van lood, zink en tin;Métallurgie du plomb, du zinc ou de l'étain;Erzeugung und erste Bearbeitung von Blei, Zink und Zinn;Lead, zinc and tin production
4;2444;244;Productie van koper;Métallurgie du cuivre;Erzeugung und erste Bearbeitung von Kupfer;Copper production
4;2445;244;Productie van andere non-ferrometalen;Métallurgie des autres métaux non ferreux;Erzeugung und erste Bearbeitung von sonstigen NE-Metallen;Other non-ferrous metal production
4;2446;244;Bewerking van splijt- en kweekstoffen;Élaboration et transformation de matières nucléaires;Aufbereitung von Kernbrennstoffen;Processing of nuclear fuel
4;2451;245;Gieten van ijzer;Fonderie de fonte;Eisengießereien;Casting of iron
4;2452;245;Gieten van staal;Fonderie d'acier;Stahlgießereien;Casting of steel
4;2453;245;Gieten van lichte metalen;Fonderie de métaux légers;Leichtmetallgießereien;Casting of light metals
4;2454;245;Gieten van andere non-ferrometalen;Fonderie d'autres métaux non ferreux;Buntmetallgießereien;Casting of other non-ferrous metals
4;2511;251;Vervaardiging van metalen constructiewerken en delen daarvan;Fabrication de structures métalliques et de parties de structures;Herstellung von Metallkonstruktionen;Manufacture of metal structures and parts of structures
4;2512;251;Vervaardiging van metalen deuren en vensters;Fabrication de portes et de fenêtres en métal;Herstellung von Ausbauelementen aus Metall;Manufacture of doors and windows of metal
4;2521;252;Vervaardiging van radiatoren en ketels voor centrale verwarming;Fabrication de radiateurs et de chaudières pour le chauffage central;Herstellung von Heizkörpern und -kesseln fÿr Zentralheizungen;Manufacture of central heating radiators and boilers
4;2529;252;Vervaardiging van andere tanks, reservoirs en bergingsmiddelen, van metaal;Fabrication d'autres réservoirs, citernes et conteneurs métalliques;Herstellung von Sammelbehältern, Tanks u. ä. Behältern aus Metall;Manufacture of other tanks, reservoirs and containers of metal
4;2530;253;Vervaardiging van stoomketels, exclusief warmwaterketels voor centrale verwarming;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central;Herstellung von Dampfkesseln (ohne Zentralheizungskessel);Manufacture of steam generators, except central heating hot water boilers
4;2540;254;Vervaardiging van wapens en munitie;Fabrication d'armes et de munitions;Herstellung von Waffen und Munition;Manufacture of weapons and ammunition
4;2550;255;"Smeden, persen, stampen en profielwalsen van metaal; poedermetallurgie";"Forge, emboutissage, estampage des métaux; métallurgie des poudres";Herstellung von Schmiede-, Press-, Zieh- und Stanzteilen, gewalzten Ringen und pulvermetallurgischen Erzeugnissen;"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
4;2561;256;Oppervlaktebehandeling van metalen;Traitement et revêtement des métaux;Oberflächenveredlung von Metallen;Treatment and coating of metals
4;2562;256;Verspanend bewerken van metalen;Usinage;Mechanik a. n. g.;Machining
4;2571;257;Vervaardiging van scharen, messen, bestekken, enz.;Fabrication de coutellerie;Herstellung von Schneidwaren und Bestecken;Manufacture of cutlery
4;2572;257;Vervaardiging van hang- en sluitwerk;Fabrication de serrures et de ferrures;Herstellung von Schlössern und Beschlägen;Manufacture of locks and hinges
4;2573;257;Vervaardiging van gereedschap;Fabrication d'outillage;Herstellung von Werkzeugen;Manufacture of tools
4;2591;259;Vervaardiging van stalen vaten en dergelijke;Fabrication de fûts et d'emballages métalliques similaires;Herstellung von Fässern, Trommeln, Dosen, Eimern u. ä. Behältern aus Metall;Manufacture of steel drums and similar containers
4;2592;259;Vervaardiging van verpakkingsmiddelen van licht metaal;Fabrication d'emballages métalliques légers;Herstellung von Verpackungen und Verschlÿssen aus Eisen, Stahl und NE-Metall;Manufacture of light metal packaging
4;2593;259;Vervaardiging van artikelen van draad en van kettingen en veren;Fabrication d'articles en fils métalliques, de chaînes et de ressorts;Herstellung von Drahtwaren, Ketten und Federn;Manufacture of wire products, chain and springs
